shape_id,pt_lan,pt_lon,pt_sequence,shape_dist_traveled
15,30.61136264,-96.35142975,9,1416.95
24,30.61557505,-96.29981734,14,4680.8
1,30.61515931,-96.33733072,17,8947.97
11,30.61855499,-96.33464449,13,8264.15
15,30.60954008,-96.34436213,1,161.73
8,30.61848793,-96.3344849,2,552.74
17,30.61597202,-96.34336033,3,482
10,30.61135728,-96.34711408,33,6142.68
21,30.59196625,-96.34420522,14,5469.74
11,30.6472278,-96.29148238,4,1135.51
1,30.64651568,-96.28908448,5,1378.02
19,30.60164098,-96.338932,17,6810.1
23,30.61282847,-96.34432324,14,3361.48
3,30.62315229,-96.33893736,0,0
19,30.60938451,-96.33485772,21,8359.22
19,30.59077937,-96.33558326,5,2829.42
18,30.61202247,-96.34641938,14,2636.54
22,30.60713146,-96.31762587,28,7704.25
18,30.61128218,-96.34725623,5,1070.86
10,30.61339039,-96.34145864,38,6763.18
16,30.59996862,-96.35197156,4,840.1
1,30.6147315,-96.33800664,16,8867.73
15,30.61204661,-96.34593122,17,2236.98
3,30.61637301,-96.34340592,7,1180.67
17,30.61264742,-96.34249665,0,0
26,30.60402814,-96.34219893,5,1278
9,30.6117529,-96.34937786,22,6809.88
24,30.61096568,-96.3361197,34,10177.99
2,30.61177302,-96.34939932,8,2776.77
15,30.61126608,-96.34722271,16,2086.06
9,30.61380077,-96.35094427,21,6537.44
3,30.61592776,-96.34343811,8,1230.24
3,30.61465371,-96.34226464,17,2857.94
14,30.62058676,-96.32111408,2,1931.04
27,30.5937298,-96.32618078,11,2553.28
8,30.62029038,-96.33606069,9,1586.69
16,30.60163963,-96.35764845,34,6684.05
27,30.60715157,-96.33129843,3,522.82
10,30.60014296,-96.35212847,15,2702.66
3,30.62161539,-96.33897089,22,3984.67
24,30.60918469,-96.3343414,33,9917.05
22,30.60619805,-96.31344028,7,2837.48
21,30.58818433,-96.3486483,12,4871.88
4,30.6124704,-96.34310954,11,1132.24
23,30.61075915,-96.34260394,0,0
16,30.61594788,-96.34335094,18,3506.86
21,30.60164098,-96.338932,17,6828.21
17,30.61241005,-96.348482,8,1333.07
9,30.6123336,-96.34546854,25,7302
17,30.61269168,-96.34575688,6,953.62
19,30.58818433,-96.3486483,12,4853.77
21,30.60938451,-96.33485772,0,0
19,30.61095897,-96.33605533,20,8150.11
10,30.60946632,-96.34691693,31,5864.19
4,30.6125978,-96.34502195,9,940.73
3,30.62222291,-96.33785107,1,146.48
1,30.61967615,-96.33487113,20,9567.96
19,30.59395242,-96.33931421,3,2327.75
12,30.62340576,-96.3386906,13,2316.39
27,30.610043,-96.33551084,0,0
23,30.60952667,-96.34700545,10,2768.26
1,30.64521346,-96.28754087,27,16038.28
24,30.61927918,-96.30025991,16,5255.84
2,30.61148871,-96.34719186,20,4703.93
16,30.61345208,-96.34501123,20,3856.9
24,30.61465774,-96.30556934,19,5981.21
12,30.61465371,-96.34226464,3,865.4
17,30.6113157,-96.34746411,7,1177.3
19,30.586402,-96.34378411,9,4334.64
11,30.634262,-96.29741945,25,14496.11
15,30.60936037,-96.34679087,3,494.77
26,30.60554225,-96.34336569,8,1560.31
2,30.61582182,-96.36722394,1,171.25
23,30.61114807,-96.34201922,16,3666.76
26,30.60584132,-96.34977885,1,223.27
27,30.60905058,-96.33423947,15,5464.25
3,30.61602298,-96.34341129,18,3045.49
8,30.61976466,-96.33493014,3,700.86
22,30.61214167,-96.30358611,12,4155.87
18,30.61083157,-96.35415354,1,113.61
22,30.61479319,-96.32790409,32,9006.22
12,30.61270375,-96.34402283,27,4052.81
12,30.61812047,-96.34062179,6,1413.83
8,30.61734665,-96.33520373,12,1983.36
17,30.60976539,-96.3529224,14,2454.99
23,30.6040791,-96.34224989,6,1924.98
27,30.61096165,-96.3360969,16,5741.11
